      5 d'Sainte-Cécile	d’Sainte-Cécile
      5 d'ganz	d’ganz
      3 d'Redd	d’Redd
      2 d'Societät	d’Societät
      2 d'Kindtaif	d’Kindtaif
      2 d'	d’
      1 t'enprie.</p>	t’enprie.</p>
      1 sott'	sott’
      1 qu'il	qu’il
      1 <p>L'union	<p>L’union
      1 <p>D'letschte	<p>D’letschte
      1 <p>D'Dekoratione	<p>D’Dekoratione
      1 <p>C'est	<p>C’est
      1 l'œuvre!	l’œuvre!
      1 j'ai	j’ai
      1 d'Verrucktheit	d’Verrucktheit
      1 d'un	d’un
      1 d'Societät,	d’Societät,
      1 d'Schweschtre	d’Schweschtre
      1 d'Sainte-Cécile!	d’Sainte-Cécile!
      1 d'Sainte-Cécile,	d’Sainte-Cécile,
      1 D'Sache	D’Sache
      1 d'Ros	d’Ros
      1 d'Redde	d’Redde
      1 d'Permission	d’Permission
      1 d'Narrheit	d’Narrheit
      1 d'Medicin	d’Medicin
      1 d'Madam	d’Madam
      1 d'Krankheit	d’Krankheit
      1 d'Knoche	d’Knoche
      1 d'heilig	d’heilig
      1 d'Hauptsach	d’Hauptsach
      1 D'Hauptarweit	D’Hauptarweit
      1 d'Händ	d’Händ
      1 d'Hand	d’Hand
      1 d'Gsundheit	d’Gsundheit
      1 d'ghyrot	d’ghyrot
      1 d'Flint	d’Flint
      1 d'Eva	d’Eva
      1 d'Ehr	d’Ehr
      1 d'Eh	d’Eh
      1 D'	D’
      1 d'beschte	d’beschte
      1 d'Arweit	d’Arweit
      1 d'arm	d’arm
      1 D'Akuschtik	D’Akuschtik
      1 d'abord,	d’abord,
