    234 d'r	d’r
     45 m'r	m’r
     14 's	’s
     11 dass'r	dass’r
     10 <p>D'r	<p>D’r
     10 d'rvun	d’rvun
     10 d'rno	d’rno
      9 'ne	’ne
      8 D'r	D’r
      6 mit'm	mit’m
      6 mach's	mach’s
      6 hett's	hett’s
      5 wie'r	wie’r
      4 wie's	wie’s
      4 wenn's	wenn’s
      4 <p>M'r	<p>M’r
      4 in's	in’s
      4 dass's	dass’s
      3 wäje-n-'m	wäje-n-’m
      3 uff'm	uff’m
      3 isch'r	isch’r
      3 hett'r	hett’r
      2 will's	will’s
      2 wär's	wär’s
      2 vor'm	vor’m
      2 verhunz'sch	verhunz’sch
      2 uff's	uff’s
      2 üewwer's	üewwer’s
      2 's,	’s,
      2 soll's	soll’s
      2 sin's?	sin’s?
      2 rappelt's?</p>	rappelt’s?</p>
      2 <p>Wenn's	<p>Wenn’s
      2 <p>'s	<p>’s
      2 pressiert's	pressiert’s
      2 m’r's	m’r’s
      2 m'r’s	m’r’s
      2 mit’'m	mit’mm
      2 ist's	ist’s
      2 heisst's	heisst’s
      2 gilt's,	gilt’s,
      2 geht's	geht’s
      2 for's	for’s
      2 fehlt's	fehlt’s
      2 fahrt's	fahrt’s
      2 emol's emol's	emol’s emol’s
      2 D'rzue	D’rzue
      2 d'rwerth,	d’rwerth,
      2 awwer'sisch	awwer’sisch
      1 wie'n	wie’n
      1 wär'n	wär’n
      1 üwer'm	üwer’m
      1 üs'm	üs’m
      1 #'s	's
      1 schrei'm	schrei’m
      1 schient'r	schient’r
      1 schenke-n-'r	schenke-n-’r
      1 rmn])", r"’\1".encode(), sertree)
      1 rend="italic">Auguste</emph>)</stage>D'r	rend="italic">Auguste</emph>)</stage>D’r
      1 <p>'n	<p>’n
      1 <p>Mit'm	<p>Mit’m
      1 nooch'm	nooch’m
      1 'n	’n
      1 m'r’s!	m’r’s!
      1 m'r’s,	m’r’s,
      1 m'r.</p>	m’r.</p>
      1 m'r,	m’r,
      1 M'r	M’r
      1 #mit’'	mit’'
      1 Lichtund Luftbad	Licht- und Luftbad	d’r
      1 kummt'r	kummt’r
      1 is'n	is’n
      1 hinger'm	hinger’m
      1 hesch’s'm	hesch’s’m
      1 hesch'm	hesch’m
      1 hat'r	hat’r
      1 habt'r	habt’r
      1 hab'm	hab’m
      1 for'ne	for’ne
      1 for'me	for’me
      1 D'rno	D’rno
      1 bie'm	bie’m
      1 bei'n	bei’n
